i_decision,i_fill_m1,i_exit_m1,i_exit_m5,q,scenario,level,stop,target,r_est,lots,fill_px,exit_px,exit_reason,ctx_ema,ctx_vwap,ctx_dxy,extension_vwap,retest,risk_amount,equity_before,equity_after,atr,spread,bars_held,scenario_name,exit_reason_name,m5_close,ts_decision_utc,ts_fill_utc,ts_exit_utc
40324.0,200888.0,200938.0,40335.0,-1.0,4.0,2410.0,2410.654742441477,2400.0,6.504700944484576,0.32,2409.235,2410.654742441477,1.0,-1.0,-1.0,1.0,0.0,0.0,45.43175812726258,9115.741219984204,9070.309461856941,0.7194848829543538,0.29,11.0,REV_SHORT,STOP,2409.38,2024-07-24 00:15:00,2024-07-24 00:20:00,2024-07-24 01:10:00
40350.0,201018.0,201257.0,40398.0,1.0,1.0,2410.0,2408.310863793231,2420.0,1.3786756644367875,0.04,2413.225,2415.13,3.0,1.0,1.0,-1.0,0.0,0.0,19.656544827075777,9070.309461856941,9077.929461856942,1.689136206769034,0.29,48.0,BREAK_LONG,TIME,2413.08,2024-07-24 02:25:00,2024-07-24 02:30:00,2024-07-24 06:29:00
40563.0,202083.0,202125.0,40572.0,-1.0,2.0,2400.0,2401.9399252078624,2390.0,2.839296577832779,0.14,2398.83,2397.495,4.0,1.0,1.0,1.0,0.0,1.0,43.53895291007485,9077.929461856942,9096.619461856943,1.9399252078622533,0.29,9.0,BREAK_SHORT,SESSION,2398.975,2024-07-24 20:10:00,2024-07-24 20:15:00,2024-07-24 20:57:00
40592.0,202223.0,202329.0,40614.0,-1.0,4.0,2400.0,2402.0976868323723,2390.0,4.16402220954218,0.09,2399.755,2390.0,2.0,1.0,-1.0,-1.0,0.0,1.0,21.084181491350133,9096.619461856943,9184.414461856944,1.5453736647454202,0.29,22.0,REV_SHORT,TARGET,2399.9,2024-07-24 23:35:00,2024-07-24 23:40:00,2024-07-25 01:26:00
40684.0,202683.0,202898.0,40728.0,1.0,3.0,2370.0,2364.6333815484177,2380.0,1.0268256111430794,0.06,2372.215,2380.0,2.0,-1.0,-1.0,1.0,1.0,1.0,45.48971070949483,9184.414461856944,9231.124461856944,2.563236903164664,0.29,44.0,REV_LONG,TARGET,2372.07,2024-07-25 07:15:00,2024-07-25 07:20:00,2024-07-25 10:55:00
40888.0,203698.0,203721.0,40893.0,1.0,3.0,2360.0,2355.209219872741,2370.0,1.4981133920448337,0.03,2361.13,2370.0,2.0,-1.0,-1.0,-1.0,0.0,0.0,17.76234038177745,9231.124461856944,9257.734461856944,1.7715602545178963,0.29,5.0,REV_LONG,TARGET,2360.985,2024-07-26 01:15:00,2024-07-26 01:20:00,2024-07-26 01:43:00
41289.0,205698.0,205707.0,41291.0,1.0,3.0,2390.0,2388.269242237697,2400.0,3.536680865208179,0.08,2390.855,2388.269242237697,1.0,1.0,-1.0,-1.0,0.0,0.0,20.686062098422553,9257.734461856944,9237.048399758522,1.6015155246062194,0.29,2.0,REV_LONG,STOP,2390.71,2024-07-29 11:40:00,2024-07-29 11:45:00,2024-07-29 11:54:00
41596.0,207228.0,207291.0,41609.0,1.0,3.0,2390.0,2387.1723428680834,2400.0,2.9681465149106248,0.07,2390.405,2387.1723428680834,1.0,1.0,1.0,-1.0,0.0,0.0,22.62859992341737,9237.048399758522,9214.419799835105,2.755314263833437,0.29,13.0,REV_LONG,STOP,2390.26,2024-07-30 14:15:00,2024-07-30 14:20:00,2024-07-30 15:23:00
41761.0,208048.0,208129.0,41778.0,-1.0,4.0,2420.0,2422.4467249742793,2410.0,3.7115900010273286,0.08,2419.805,2422.4467249742793,1.0,-1.0,-1.0,-1.0,1.0,1.0,21.13379979423553,9214.419799835105,9193.28600004087,1.803449948558772,0.29,17.0,REV_SHORT,STOP,2419.95,2024-07-31 05:00:00,2024-07-31 05:05:00,2024-07-31 06:26:00
41809.0,208288.0,208319.0,41816.0,1.0,1.0,2420.0,2418.197075414011,2430.0,2.4481988397589394,0.13,2421.62,2418.197075414011,1.0,1.0,1.0,1.0,0.0,1.0,44.49801961785397,9193.28600004087,9148.787980423014,1.802924585988986,0.29,7.0,BREAK_LONG,STOP,2421.475,2024-07-31 09:00:00,2024-07-31 09:05:00,2024-07-31 09:36:00
