target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,cagr_robust,sharpe_robust,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg
0.45,56.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,56.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,56.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,72.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,72.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,72.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,80.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,80.0,0.04,1.0188750963846263,9.559033333333334,1.1685999999999999,0.45,80.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,24.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,24.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,24.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,48.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,48.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,48.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,64.0,0.04,9.3817,9.2079,1.149,1.3821,3.6048,630,4233.97,3.937,0.45,64.0,0.04,1.0188750963846263,9.559033333333332,1.1686,0.45,64.0,0.04,4.0776,5.1981,0.6261,1.2235,1.1539,206,614.5,1.492,0.7844404686327697,6.72965
0.45,24.0,0.01,9.0304,9.0789,1.0704,1.36,3.3936,630,4054.85,3.937,0.45,24.0,0.01,0.9946579431428917,9.071688888888888,1.069988888888889,0.45,24.0,0.01,4.2745,6.0923,0.5757,1.2289,1.0164,206,644.47,1.492,0.7016233606355563,6.65245
0.45,64.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,64.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,64.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,48.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,48.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,48.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,40.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,40.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,40.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,32.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,32.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,32.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,16.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,16.0,0.05,1.0598796477280215,9.484622222222221,1.2108666666666668,0.45,16.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,80.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,80.0,0.05,1.0598796477280215,9.591066666666666,1.2119666666666664,0.45,80.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,24.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,24.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,24.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,56.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,56.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,56.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,72.0,0.05,9.6519,9.1066,1.2211,1.4146,3.8329,630,4372.93,3.937,0.45,72.0,0.05,1.0598796477280215,9.591066666666668,1.2119666666666664,0.45,72.0,0.05,3.5182,4.7777,0.5643,1.2082,1.085,206,529.48,1.492,0.7363794294325722,6.58505
0.45,24.0,0.02,8.9574,9.0944,1.0668,1.3569,3.3627,630,4017.83,3.937,0.45,24.0,0.02,0.984935784658691,9.384966666666665,1.1092,0.45,24.0,0.02,4.0663,5.9572,0.5571,1.217,0.99,206,612.77,1.492,0.682585778553683,6.51185
0.45,56.0,0.02,8.9574,9.0944,1.0668,1.3569,3.3627,630,4017.83,3.937,0.45,56.0,0.02,0.984935784658691,9.122566666666668,1.0806666666666667,0.45,56.0,0.02,4.0663,5.9572,0.5571,1.217,0.99,206,612.77,1.492,0.682585778553683,6.51185
0.45,40.0,0.02,8.9574,9.0944,1.0668,1.3569,3.3627,630,4017.83,3.937,0.45,40.0,0.02,0.984935784658691,9.122566666666668,1.0806666666666667,0.45,40.0,0.02,4.0663,5.9572,0.5571,1.217,0.99,206,612.77,1.492,0.682585778553683,6.51185
0.45,32.0,0.02,8.9574,9.0944,1.0668,1.3569,3.3627,630,4017.83,3.937,0.45,32.0,0.02,0.984935784658691,9.171888888888889,1.0857222222222223,0.45,32.0,0.02,4.0663,5.9572,0.5571,1.217,0.99,206,612.77,1.492,0.682585778553683,6.51185
0.45,72.0,0.02,8.9574,9.0944,1.0668,1.3569,3.3627,630,4017.83,3.937,0.45,72.0,0.02,0.984935784658691,9.122566666666668,1.0806666666666667,0.45,72.0,0.02,4.0663,5.9572,0.5571,1.217,0.99,206,612.77,1.492,0.682585778553683,6.51185
