target_vol_is,max_lev_is,vol_floor_is,cagr_pct_is,equity_dd_pct_is,sharpe_is,profit_factor_is,recovery_factor_is,trades_is,net_profit_is,years_is,vt_r,lev_r,vfl_r,calmar_is,target_vol_oos,max_lev_oos,vol_floor_oos,cagr_pct_oos,equity_dd_pct_oos,sharpe_oos,profit_factor_oos,recovery_factor_oos,trades_oos,net_profit_oos,years_oos,calmar_oos,cagr_avg,dd_max,sharpe_min
1.75,48.0,0.04,26.2131,19.1654,1.4266,1.526,3.7377,585,15006.37,3.937,1.75,48.0,0.04,1.3677303891387604,1.75,48.0,0.04,15.8732,8.3273,1.0611,1.4354,2.2072,201,2458.64,1.492,1.906164062781454,21.04315,19.1654,1.0611
2.0,32.0,0.01,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.01,1.3595257087209502,2.0,32.0,0.01,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.025,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.025,1.3595257087209502,2.0,32.0,0.025,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.015,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.015,1.3595257087209502,2.0,32.0,0.015,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.02,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.02,1.3595257087209502,2.0,32.0,0.02,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.055,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.055,1.3595257087209502,2.0,32.0,0.055,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.035,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.035,1.3595257087209502,2.0,32.0,0.035,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.06,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.06,1.3595257087209502,2.0,32.0,0.06,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.04,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.04,1.3595257087209502,2.0,32.0,0.04,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.03,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.03,1.3595257087209502,2.0,32.0,0.03,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.05,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.05,1.3595257087209502,2.0,32.0,0.05,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
2.0,32.0,0.005,27.7815,20.4347,1.4134,1.5176,3.6544,585,16252.33,3.937,2.0,32.0,0.005,1.3595257087209502,2.0,32.0,0.005,14.2506,9.1908,0.9163,1.3576,1.857,201,2199.22,1.492,1.5505287896592246,21.01605,20.4347,0.9163
